fname,itp,tp_prob,its,ts_prob
SC.PWU_20180329020838.mseed_0,[],[],[],[]
SC.PWU_20180329020838.mseed_3000,[],[],[688],[0.489926]
SC.PWU_20180329020838.mseed_6000,[],[],[],[]
SC.PWU_20180329020838.mseed_9000,[],[],[],[]
SC.PWU_20180329020838.mseed_12000,[1503],[0.933412],[2190],[0.693155]
SC.PWU_20180329020838.mseed_15000,[],[],[],[]
SC.PWU_20180303201148.mseed_0,[],[],[2667],[0.318004]
SC.PWU_20180303201148.mseed_3000,[4],[0.657125],[421],[0.899169]
SC.PWU_20180303201148.mseed_6000,[],[],[],[]
SC.PWU_20180303201148.mseed_9000,[],[],[],[]
SC.PWU_20180303201148.mseed_12000,[1504],[0.976542],[1921],[0.885541]
SC.PWU_20180303201148.mseed_15000,[],[],[],[]
SC.WCH_20180108153332.mseed_0,[],[],[],[]
SC.WCH_20180108153332.mseed_3000,[1151],[0.79497],[],[]
SC.WCH_20180108153332.mseed_6000,[],[],[],[]
SC.WCH_20180108153332.mseed_9000,[],[],[],[]
SC.WCH_20180108153332.mseed_12000,[2654],[0.81098],[],[]
SC.WCH_20180108153332.mseed_15000,[],[],[],[]
SC.PWU_20180919234148.mseed_0,[],[],[],[]
SC.PWU_20180919234148.mseed_3000,[20],[0.92139],[1001],[0.307684]
SC.PWU_20180919234148.mseed_6000,[],[],[],[]
SC.PWU_20180919234148.mseed_9000,[],[],[],[]
SC.PWU_20180919234148.mseed_12000,[1516],[0.896724],[2491],[0.417115]
SC.PWU_20180919234148.mseed_15000,[],[],[274],[0.743433]
SC.PWU_20180909230907.mseed_0,[],[],[],[]
SC.PWU_20180909230907.mseed_3000,[20],[0.877752],[562],[0.471165]
SC.PWU_20180909230907.mseed_6000,[],[],[],[]
SC.PWU_20180909230907.mseed_9000,[],[],[],[]
SC.PWU_20180909230907.mseed_12000,[1512],[0.745235],[2060],[0.481692]
SC.PWU_20180909230907.mseed_15000,[],[],[],[]
SC.JMG_20180420131013.mseed_0,[],[],[],[]
SC.JMG_20180420131013.mseed_3000,[],[],[670],[0.632334]
SC.JMG_20180420131013.mseed_6000,[],[],[],[]
SC.JMG_20180420131013.mseed_9000,[],[],[],[]
SC.JMG_20180420131013.mseed_12000,[1503],[0.849454],[2172],[0.659209]
SC.JMG_20180420131013.mseed_15000,[],[],[65],[0.532896]
SC.AXI_20180223145759.mseed_0,[],[],[],[]
SC.AXI_20180223145759.mseed_3000,[33],[0.505414],[913],[0.423353]
SC.AXI_20180223145759.mseed_6000,[],[],[],[]
SC.AXI_20180223145759.mseed_9000,[2936],[0.7006],[],[]
SC.AXI_20180223145759.mseed_12000,[1496],[0.701194],[2413],[0.38813]
SC.AXI_20180223145759.mseed_15000,[],[],[],[]
SC.AXI_20180216030138.mseed_0,[],[],[],[]
SC.AXI_20180216030138.mseed_3000,[],[],[495],[0.939863]
SC.AXI_20180216030138.mseed_6000,[],[],[],[]
SC.AXI_20180216030138.mseed_9000,[],[],[],[]
SC.AXI_20180216030138.mseed_12000,[1503],[0.974439],[1995],[0.950413]
SC.AXI_20180216030138.mseed_15000,[],[],[],[]
SC.MDS_20180616031627.mseed_0,[],[],[],[]
SC.MDS_20180616031627.mseed_3000,[27],[0.875265],[],[]
SC.MDS_20180616031627.mseed_6000,[],[],[],[]
SC.MDS_20180616031627.mseed_9000,[],[],[],[]
SC.MDS_20180616031627.mseed_12000,[1527],[0.849863],[],[]
