fname,itp,tp_prob,its,ts_prob
SC.YZP_20180329121837.mseed_0,[1180],[0.473047],[1515],[0.508063]
SC.AXI_20180526153438.mseed_0,[],[],[],[]
SC.JZG_20180801024133.mseed_0,[],[],[],[]
SC.AXI_20180604131458.mseed_0,[2689],[0.321921],[],[]
SC.JZG_20180420185012.mseed_0,[],[],[],[]
SC.JZG_20181027230736.mseed_0,[],[],[],[]
SC.YZP_20180710142118.mseed_0,[],[],[],[]
SC.JMG_20180407064832.mseed_0,[],[],[],[]
SC.YZP_20180329121837.mseed_3000,[],[],[],[]
SC.AXI_20180526153438.mseed_3000,[],[],[],[]
SC.YZP_20180710142118.mseed_3000,[],[],[],[]
SC.AXI_20180604131458.mseed_3000,[],[],[],[]
SC.JZG_20180801024133.mseed_3000,[],[],[],[]
SC.JZG_20180420185012.mseed_3000,[],[],[],[]
SC.AXI_20180526153438.mseed_6000,[],[],[],[]
SC.JZG_20181027230736.mseed_3000,[],[],[],[]
SC.YZP_20180329121837.mseed_6000,[2581],[0.440556],[],[]
SC.JZG_20181027230736.mseed_6000,[],[],[],[]
SC.JZG_20180801024133.mseed_6000,[],[],[],[]
SC.JMG_20180407064832.mseed_3000,[],[],[],[]
SC.AXI_20180604131458.mseed_6000,[2829],[0.56438],[],[]
SC.YZP_20180710142118.mseed_6000,[],[],[],[]
SC.JZG_20180420185012.mseed_6000,[],[],[],[]
SC.AXI_20180526153438.mseed_9000,[],[],[],[]
SC.JMG_20180407064832.mseed_6000,[],[],[],[]
SC.YZP_20180329121837.mseed_9000,[],[],[],[]
SC.JZG_20180801024133.mseed_9000,[],[],[],[]
SC.JZG_20181027230736.mseed_9000,[],[],[],[]
SC.YZP_20180710142118.mseed_9000,[],[],[],[]
SC.JMG_20180407064832.mseed_9000,[],[],[],[]
SC.AXI_20180604131458.mseed_9000,[],[],[],[]
SC.JZG_20180420185012.mseed_9000,[],[],[],[]
SC.JZG_20180801024133.mseed_12000,[],[],[],[]
SC.JZG_20181027230736.mseed_12000,[],[],[],[]
SC.AXI_20180526153438.mseed_12000,[],[],[],[]
SC.YZP_20180329121837.mseed_12000,[],[],[],[]
SC.YZP_20180710142118.mseed_12000,[],[],[],[]
SC.JZG_20180801024133.mseed_15000,[],[],[],[]
SC.JZG_20181027230736.mseed_15000,[],[],[],[]
SC.JMG_20180407064832.mseed_12000,[],[],[],[]
SC.AXI_20180604131458.mseed_12000,[],[],[],[]
SC.AXI_20180526153438.mseed_15000,[],[],[],[]
SC.YZP_20180329121837.mseed_15000,[],[],[],[]
SC.JZG_20180420185012.mseed_12000,[],[],[],[]
SC.JMG_20180407064832.mseed_15000,[],[],[],[]
SC.ZJG_20180121234326.mseed_0,[],[],[],[]
SC.JZG_20180420185012.mseed_15000,[],[],[],[]
SC.AXI_20180604131458.mseed_15000,[2785],[0.537498],[],[]
SC.YZP_20180710142118.mseed_15000,[],[],[],[]
SC.WCH_20180904050724.mseed_0,[],[],[],[]
SC.GZA_20180117231123.mseed_0,[],[],[],[]
SC.WCH_20180221064020.mseed_0,[],[],[],[]
SC.WCH_20180221064020.mseed_3000,[],[],[],[]
SC.WCH_20180904050724.mseed_3000,[],[],[],[]
SC.GZA_20180117231123.mseed_3000,[],[],[],[]
SC.YZP_20180217053531.mseed_0,[],[],[],[]
SC.WCH_20180222073325.mseed_0,[],[],[],[]
SC.PWU_20181027182152.mseed_0,[],[],[],[]
SC.ZJG_20180121234326.mseed_3000,[],[],[],[]
SC.JMG_20180812032516.mseed_0,[],[],[],[]
SC.WCH_20180221064020.mseed_6000,[],[],[],[]
SC.YZP_20180217053531.mseed_3000,[],[],[],[]
SC.JMG_20180812032516.mseed_3000,[],[],[],[]
SC.WCH_20180222073325.mseed_3000,[],[],[],[]
SC.ZJG_20180121234326.mseed_6000,[],[],[],[]
SC.PWU_20181027182152.mseed_3000,[],[],[],[]
SC.WCH_20180904050724.mseed_6000,[],[],[],[]
SC.GZA_20180117231123.mseed_6000,[],[],[],[]
SC.JMG_20180812032516.mseed_6000,[],[],[],[]
SC.PWU_20181027182152.mseed_6000,[2776],[0.463964],[],[]
SC.GZA_20180117231123.mseed_9000,[],[],[],[]
SC.YZP_20180217053531.mseed_6000,[],[],[],[]
SC.ZJG_20180121234326.mseed_9000,[],[],[],[]
SC.WCH_20180221064020.mseed_9000,[],[],[],[]
SC.WCH_20180904050724.mseed_9000,[],[],[],[]
SC.WCH_20180222073325.mseed_6000,[],[],[],[]
SC.PWU_20181027182152.mseed_9000,[],[],[],[]
SC.YZP_20180217053531.mseed_9000,[],[],[],[]
SC.JMG_20180812032516.mseed_9000,[],[],[],[]
SC.WCH_20180222073325.mseed_9000,[],[],[],[]
SC.WCH_20180221064020.mseed_12000,[],[],[],[]
SC.GZA_20180117231123.mseed_12000,[],[],[],[]
SC.ZJG_20180121234326.mseed_12000,[],[],[],[]
SC.WCH_20180904050724.mseed_12000,[],[],[],[]
SC.PWU_20181027182152.mseed_12000,[],[],[],[]
SC.WCH_20180221064020.mseed_15000,[],[],[],[]
SC.WCH_20180904050724.mseed_15000,[],[],[281],[0.548137]
SC.YZP_20180217053531.mseed_12000,[],[],[],[]
SC.JMG_20180812032516.mseed_12000,[],[],[],[]
SC.GZA_20180117231123.mseed_15000,[],[],[],[]
SC.WCH_20180222073325.mseed_12000,[],[],[],[]
