fname,itp,tp_prob,its,ts_prob
NC_KCR_2001092605130217_02.npz,[731],[0.958105],[1534],[0.763463]
NC_GDXB_2017111608332923.npz,[1131],[0.98151],[1173],[0.957253]
NC_BJOB_2017111323254117.npz,[859],[0.979925],[974],[0.920573]
NC_MTU_2014071807051236_02.npz,[938],[0.974678],[1253],[0.771923]
NC_MCV_2017071007270260.npz,[1095],[0.981879],[1161],[0.955557]
NC_GDXB_2008072815280414.npz,[810],[0.983094],[844],[0.957693]
NC_MEM_2017100709282692.npz,[1317],[0.939448],[1604],[0.831233]
NN_OMMB_2012062718271748.npz,[1826],[0.983162],[2346],[0.949305]
NC_PHC_2004011816230722.npz,[895],[0.981398],[1037],[0.877776]
NP_1845_2008013001525083.npz,[1635 2613],[0.689035 0.515794],[1707],[0.967332]
CI_MLAC_2014092606030921.npz,[706],[0.967246],[848],[0.805557]
NC_BVL_2002120221303412.npz,[587],[0.985879],[705],[0.71746]
NC_CAL_1986040707411070_02.npz,[1664],[0.981959],[1869],[0.858104]
BG_TCH_2015032422282089.npz,[1383],[0.948404],[1422],[0.957793]
NC_BSR_2001021614001905.npz,[1549],[0.986056],[1765],[0.771511]
PG_LM_2004120808532425.npz,[520],[0.983524],[722],[0.839549]
BG_BUC_2016010523005440.npz,[621],[0.982681],[714],[0.91929]
NC_MINS_2017121917375949.npz,[1377 2643],[0.983492 0.394337],[1430],[0.941721]
NC_KCPB_2003093001160889.npz,[678],[0.963362],[],[]
BG_SB4_2016032123384429.npz,[1115],[0.984404],[1183],[0.965576]
NC_KCR_2010030506212295.npz,[1318],[0.952008],[2297],[0.366128]
BG_FNF_2016112721021395.npz,[1404],[0.98302],[1465],[0.831877]
NC_MCM_1996101007422419_02.npz,[1029],[0.989985],[1252],[0.631745]
NC_PSM_2007120702123974.npz,[1378],[0.972422],[1658],[0.676376]
BG_CLV_2014093006271251.npz,[845],[0.908203],[955],[0.925812]
BG_SQK_2014092905050165.npz,[718],[0.952036],[790],[0.868533]
NC_PST_2004100704494553.npz,[1279],[0.980009],[1396],[0.750024]
NC_PHP_1990082517392512.npz,[1182],[0.94606],[2445],[0.425577]
PB_B045_2014120103335483.npz,[957],[0.989731],[1492],[0.905475]
BG_BRP_2012051815590255.npz,[1582],[0.986953],[1651],[0.948003]
NC_BSR_2016060814045294.npz,[1579],[0.985045],[1765],[0.897375]
BG_SQK_2008053018513134.npz,[606],[0.978008],[659],[0.962705]
BK_CVS_2014122917571883.npz,[1272],[0.985074],[1408],[0.93776]
TA_Q03C_2007052416012924.npz,[1638],[0.940887],[2415],[0.702727]
NN_MGN_1987020206461132_N1.npz,[560],[0.935194],[1048],[0.815026]
BK_BKS_2017071510492061.npz,[584],[0.979993],[680],[0.956005]
NN_MLN_1987052517430303_N1.npz,[706],[0.983053],[930],[0.748072]
PG_AR_2004102501154586.npz,[1356],[0.980704],[1646],[0.878136]
NC_BJOB_2014081204003000.npz,[958],[0.971089],[1249],[0.856521]
BG_AL4_2011050109272382.npz,[560],[0.979702],[625],[0.966058]
NC_JMP_1990041816192565.npz,[857],[0.723533],[1779],[0.519078]
NC_MMS_2009122402065714.npz,[875],[0.986375],[937],[0.866685]
NC_LSH_1987080122274025_01.npz,[1030],[0.967748],[1502],[0.815828]
NC_MCB_2017010105240675.npz,[787],[0.986519],[909],[0.744029]
BG_FUM_2015112500545727.npz,[651],[0.981316],[717],[0.924948]
NC_CAL_2002092404400348.npz,[1071],[0.986823],[1227],[0.780712]
BK_SCZ_2014011401023067.npz,[660],[0.984993],[920],[0.863931]
NC_MDY_2017092916214225.npz,[558],[0.929309],[821],[0.75423]
BK_HUMO_2010081119294380.npz,[1439],[0.970122],[2154],[0.678337]
NC_MDPB_2010020301543668.npz,[1891],[0.965836],[1983],[0.924646]
NC_PPC_2003083020544770.npz,[1574],[0.98861],[1689],[0.572997]
BK_RAMR_2008020407335694.npz,[1541],[0.982265],[1809],[0.641955]
NC_PHOB_2004110716051945.npz,[1204],[0.979652],[1385],[0.96163]
NC_MQ1P_2010070310532150.npz,[863],[0.945633],[1066],[0.874427]
PG_AR_2004101107051561.npz,[986],[0.940786],[1413],[0.899453]
NN_CAS_1987070910023014_N1.npz,[979],[0.980062],[1233],[0.873653]
BG_AL2_2009091706111844.npz,[1825],[0.98546],[1967],[0.972663]
BG_DRK_2008042312375958.npz,[952],[0.986801],[1015],[0.97375]
BG_SQK_2012040517463293.npz,[932],[0.988971],[983],[0.972039]
BG_SSR_2010100919233912.npz,[1793],[0.956512],[1935],[0.955661]
NC_CLCB_2017112601505303.npz,[1457],[0.987716],[1637],[0.95766]
BK_SAO_2016111609193067.npz,[1515],[0.981662],[1653],[0.948961]
PG_AR_1997080110141265.npz,[1980],[0.842952],[2532],[0.781783]
BG_AL1_2012061003014499.npz,[1026],[0.982],[1137],[0.965265]
BG_SQK_2009030904355060.npz,[1883],[0.986726],[1927],[0.975014]
NC_MCM_1990021913570257_01.npz,[1165],[0.984681],[1293],[0.685849]
NC_OGO_1996070411121570.npz,[1547],[0.983119],[2082],[0.756286]
NC_HPL_1992022902554152.npz,[643],[0.984959],[904],[0.64189]
CI_DPP_2013062217345377.npz,[1168],[0.957749],[1758],[0.88749]
NC_GBD_1985021117290228.npz,[922],[0.977937],[1203],[0.884375]
BG_DVB_2013021605490556.npz,[868],[0.981475],[915],[0.926719]
CI_MLAC_2017042709015422.npz,[955],[0.884901],[1133],[0.570469]
PG_BP_2008110314434009.npz,[1752],[0.988189],[1925],[0.93534]
BG_FUM_2012092316223207.npz,[1083],[0.980541],[1165],[0.643483]
BG_SB4_2017012813103811.npz,[1328],[0.937045],[1387],[0.962625]
NC_MCO_2016111504021890.npz,[1657],[0.983837],[1869],[0.838573]
NC_NTAB_2004081306125131.npz,[1275],[0.985995],[1405],[0.96106]
NC_MLC_1985111901284647.npz,[1528],[0.987018],[1681],[0.561754]
NC_GDXB_2007012922272693.npz,[1299],[0.980206],[1326],[0.927164]
NC_LCF_1988093006011698_02.npz,[1140],[0.937871],[1447],[0.489785]
BG_JKR_2011060216251169.npz,[1919],[0.985556],[1973],[0.860371]
BK_RAMR_2008073123432079.npz,[1058],[0.980481],[1345],[0.740791]
BG_NEG_2017071711081046.npz,[1871],[0.983143],[1966],[0.96679]
NC_GDXB_2017020915251675.npz,[800],[0.968481],[844],[0.952547]
NC_CSL_2002112414542687.npz,[1142],[0.946848],[1440],[0.747534]
BG_BRP_2014060407020473.npz,[826],[0.987927],[921],[0.958321]
NC_MMP_2016102706150145.npz,[1636],[0.988428],[1827],[0.928297]
NN_HTC_1988112019593994_N1.npz,[1670],[0.967146],[1944],[0.806427]
BG_ACR_2012082505145960.npz,[1711],[0.985992],[1810],[0.947859]
NN_OMMB_2017072215554319.npz,[1330],[0.988405],[1391],[0.94852]
NC_MCV_1999071111141796.npz,[1715],[0.98652],[1777],[0.949523]
NC_CAO_1986022410342875.npz,[1825],[0.965978],[2061],[0.935957]
NC_HTU_2015050312175500.npz,[1298],[0.987908],[1553],[0.652341]
NC_GDXB_2012010123094724.npz,[1580],[0.986726],[1643],[0.972375]
NC_BBG_2007102001425167.npz,[568],[0.983504],[911],[0.652145]
BG_ACR_2012120413330715.npz,[1877],[0.979731],[1973],[0.963863]
BG_BUC_2011042314090451.npz,[1358],[0.937373],[1417],[0.945538]
BG_CLV_2010120607083474.npz,[904],[0.971216],[981],[0.916404]
BK_SCZ_2015010319313383.npz,[1746],[0.956919],[2056],[0.848089]
PB_B066_2010082016525229.npz,[1136],[0.980108],[1333],[0.784747]
BK_PACP_2012032208214206.npz,[1916],[0.97149],[2096],[0.928148]
BK_PKD_2014061613251098.npz,[1207],[0.980385],[1354],[0.845987]
BG_PFR_2009102117592513.npz,[1911],[0.953274],[2045],[0.905289]
BK_HATC_2013052418582783.npz,[504],[0.840794],[1546],[0.434865]
NC_MCO_2015022708092442.npz,[1900],[0.974623],[2103],[0.558192]
BG_HVC_2015031008403145.npz,[1955],[0.903313],[2013],[0.964822]
NC_GCR_1985032323281663_01.npz,[1303],[0.884247],[1758],[0.928774]
NC_GDXB_2008071720041377.npz,[715 1741],[0.976786 0.951716],[784 1812],[0.947467 0.735359]
NC_CCOB_2016022817551615.npz,[1930],[0.840658],[2325],[0.890278]
BG_NEG_2011070416090892.npz,[609],[0.975354],[750],[0.879293]
PB_B072_2017092719561779.npz,[1124],[0.986914],[1304],[0.816061]
PG_PB_2006112106061118.npz,[1872],[0.94295],[2068],[0.926954]
PB_B067_2014021223063856.npz,[1834],[0.944086],[2143],[0.707858]
BK_TCHL_2014062504301235.npz,[1424],[0.793321],[2254],[0.726059]
BK_RAMR_2012042511425024.npz,[1071 2747],[0.971167 0.378984],[1450],[0.761203]
BG_PFR_2011020821154783.npz,[866],[0.987238],[909],[0.907568]
BG_PFR_2007080600370485.npz,[666],[0.974563],[722],[0.936576]
