fname,itp,tp_prob,its,ts_prob
SC.ZJG_20180901112840.mseed_0,[],[],[],[]
SC.PWU_20180214200002.mseed_0,[],[],[],[]
SC.MDS_20181108042502.mseed_0,[349],[0.630994],[],[]
SC.MDS_20180725052952.mseed_0,[],[],[],[]
SC.JMG_20180910020510.mseed_0,[],[],[],[]
SC.ZJG_20180901112840.mseed_3000,[],[],[49 293],[0.380003 0.686935]
SC.ZJG_20180918123621.mseed_0,[],[],[],[]
SC.JMG_20180810143309.mseed_0,[],[],[],[]
SC.ZJG_20180516192037.mseed_0,[],[],[],[]
SC.MDS_20180725052952.mseed_3000,[],[],[],[]
SC.MDS_20181108042502.mseed_3000,[2001],[0.405812],[],[]
SC.PWU_20180214200002.mseed_3000,[],[],[633],[0.560307]
SC.JMG_20180910020510.mseed_3000,[],[],[636],[0.761079]
SC.ZJG_20180901112840.mseed_6000,[],[],[],[]
SC.ZJG_20180901112840.mseed_9000,[],[],[],[]
SC.ZJG_20180516192037.mseed_3000,[16],[0.685494],[453],[0.775416]
SC.PWU_20180214200002.mseed_6000,[],[],[],[]
SC.ZJG_20180516192037.mseed_6000,[],[],[],[]
SC.MDS_20181108042502.mseed_6000,[],[],[],[]
SC.ZJG_20180918123621.mseed_3000,[3],[0.330233],[97],[0.660644]
SC.JMG_20180810143309.mseed_3000,[21],[0.429455],[753],[0.730844]
SC.ZJG_20180901112840.mseed_12000,[1536],[0.716982],[1793],[0.715966]
SC.JMG_20180910020510.mseed_6000,[],[],[],[]
SC.PWU_20180214200002.mseed_9000,[],[],[],[]
SC.MDS_20181108042502.mseed_9000,[],[],[],[]
SC.MDS_20180725052952.mseed_6000,[],[],[],[]
SC.JMG_20180810143309.mseed_6000,[],[],[],[]
SC.ZJG_20180918123621.mseed_6000,[],[],[],[]
SC.PWU_20180214200002.mseed_12000,[1506],[0.907779],[2137],[0.68451]
SC.ZJG_20180901112840.mseed_15000,[],[],[],[]
SC.MDS_20180725052952.mseed_9000,[],[],[],[]
SC.PWU_20180214200002.mseed_15000,[],[],[],[]
SC.JMG_20180910020510.mseed_9000,[],[],[],[]
SC.ZJG_20180918123621.mseed_9000,[],[],[],[]
SC.MDS_20180725052952.mseed_12000,[1505],[0.518492],[2182],[0.585644]
SC.ZJG_20180516192037.mseed_9000,[],[],[],[]
SC.MDS_20181108042502.mseed_12000,[2912],[0.360927],[],[]
SC.MDS_20181108042502.mseed_15000,[],[],[517],[0.594848]
SC.JMG_20180910020510.mseed_12000,[1511],[0.90499],[2134],[0.822464]
SC.JMG_20180810143309.mseed_9000,[],[],[],[]
SC.ZJG_20180918123621.mseed_12000,[1503],[0.984396],[1600],[0.581939]
SC.MDS_20180725052952.mseed_15000,[],[],[],[]
SC.ZJG_20180516192037.mseed_12000,[1510],[0.796252],[1953],[0.816993]
SC.JMG_20180910020510.mseed_15000,[],[],[],[]
SC.JMG_20180810143309.mseed_12000,[1515],[0.832256],[2253],[0.762806]
SC.ZJG_20180516192037.mseed_15000,[],[],[],[]
SC.ZJG_20180918123621.mseed_15000,[],[],[],[]
SC.JMG_20180810143309.mseed_15000,[],[],[],[]
SC.JZG_20180302032444.mseed_0,[],[],[],[]
SC.PWU_20180609135620.mseed_0,[],[],[],[]
SC.JZG_20180302032444.mseed_3000,[],[],[357],[0.786839]
SC.PWU_20180609135620.mseed_3000,[9],[0.976825],[421],[0.832836]
SC.PWU_20180609135620.mseed_6000,[],[],[],[]
SC.PWU_20180609135620.mseed_9000,[],[],[],[]
SC.JZG_20180402031905.mseed_0,[],[],[],[]
SC.JZG_20180302032444.mseed_6000,[1368 2519],[0.535764 0.597784],[],[]
SC.PWU_20180609135620.mseed_12000,[1507],[0.980129],[1920],[0.842035]
SC.JZG_20180402031905.mseed_3000,[4],[0.794195],[429],[0.901288]
SC.PWU_20180609135620.mseed_15000,[],[],[],[]
SC.JZG_20180302032444.mseed_9000,[],[],[],[]
SC.PWU_20180610211216.mseed_0,[],[],[],[]
SC.JZG_20180302032444.mseed_12000,[1500],[0.963498],[1857],[0.802809]
SC.JZG_20180402031905.mseed_6000,[],[],[2227],[0.730666]
SC.JZG_20180228060018.mseed_0,[],[],[],[]
SC.PWU_20180610211216.mseed_3000,[12],[0.975417],[560],[0.830253]
SC.JZG_20180402031905.mseed_9000,[],[],[],[]
SC.JZG_20180228060018.mseed_3000,[35],[0.614231],[503],[0.906615]
SC.PWU_20180610211216.mseed_6000,[],[],[],[]
SC.JZG_20180302032444.mseed_15000,[2869],[0.546203],[],[]
SC.JZG_20180112172430.mseed_0,[],[],[153],[0.668253]
SC.PWU_20180722015215.mseed_0,[],[],[],[]
SC.PWU_20180610211216.mseed_9000,[],[],[],[]
SC.JZG_20180228060018.mseed_6000,[],[],[],[]
SC.GZA_20181108162416.mseed_0,[],[],[2723],[0.354629]
SC.JZG_20180402031905.mseed_12000,[1501],[0.983923],[1930],[0.905903]
SC.PWU_20180610211216.mseed_12000,[1513],[0.97916],[2058],[0.812684]
SC.GZA_20181108162416.mseed_3000,[],[],[],[]
SC.JZG_20180228060018.mseed_9000,[],[],[],[]
SC.PWU_20180610211216.mseed_15000,[],[],[],[]
SC.GZA_20181108162416.mseed_6000,[],[],[46],[0.694814]
SC.JZG_20180112172430.mseed_3000,[],[],[693],[0.742642]
SC.PWU_20180722015215.mseed_3000,[12],[0.420602],[876],[0.636131]
SC.GZA_20181108162416.mseed_9000,[],[],[],[]
SC.GZA_20181108162416.mseed_12000,[1497],[0.580699],[],[]
SC.JZG_20180228060018.mseed_12000,[1507],[0.921373],[2004],[0.919916]
SC.JZG_20180402031905.mseed_15000,[],[],[],[]
SC.JZG_20180112172430.mseed_6000,[],[],[],[]
