fname,itp,tp_prob,its,ts_prob
SC_AXI_2018_01_03.mseed_0,[],[],[],[]
SC_AXI_2018_01_01.mseed_0,[],[],[],[]
SC_AXI_2018_01_02.mseed_0,[],[],[],[]
SC_AXI_2018_01_02.mseed_3000,[],[],[],[]
SC_AXI_2018_01_01.mseed_3000,[],[],[],[]
SC_AXI_2018_01_03.mseed_3000,[],[],[],[]
SC_AXI_2018_01_04.mseed_0,[],[],[],[]
SC_AXI_2018_01_02.mseed_6000,[],[],[],[]
SC_AXI_2018_01_01.mseed_6000,[],[],[],[]
SC_AXI_2018_01_03.mseed_6000,[2878],[0.842479],[],[]
SC_AXI_2018_01_04.mseed_3000,[],[],[],[]
SC_AXI_2018_01_01.mseed_9000,[],[],[],[]
SC_AXI_2018_01_03.mseed_9000,[],[],[137 631],[0.736788 0.401253]
SC_AXI_2018_01_04.mseed_6000,[],[],[],[]
SC_AXI_2018_01_02.mseed_9000,[],[],[],[]
SC_AXI_2018_01_01.mseed_12000,[],[],[],[]
SC_AXI_2018_01_03.mseed_12000,[],[],[],[]
SC_AXI_2018_01_04.mseed_9000,[],[],[],[]
SC_AXI_2018_01_01.mseed_15000,[],[],[],[]
SC_AXI_2018_01_03.mseed_15000,[],[],[],[]
SC_AXI_2018_01_02.mseed_12000,[],[],[],[]
SC_AXI_2018_01_04.mseed_12000,[],[],[],[]
SC_AXI_2018_01_01.mseed_18000,[],[],[],[]
SC_AXI_2018_01_03.mseed_18000,[],[],[],[]
SC_AXI_2018_01_02.mseed_15000,[],[],[],[]
SC_AXI_2018_01_04.mseed_15000,[],[],[],[]
SC_AXI_2018_01_03.mseed_21000,[],[],[],[]
SC_AXI_2018_01_02.mseed_18000,[],[],[],[]
SC_AXI_2018_01_04.mseed_18000,[],[],[],[]
SC_AXI_2018_01_01.mseed_21000,[],[],[],[]
SC_AXI_2018_01_02.mseed_21000,[],[],[],[]
SC_AXI_2018_01_03.mseed_24000,[],[],[],[]
SC_AXI_2018_01_04.mseed_21000,[],[],[],[]
SC_AXI_2018_01_01.mseed_24000,[],[],[],[]
SC_AXI_2018_01_02.mseed_24000,[],[],[],[]
SC_AXI_2018_01_03.mseed_27000,[],[],[],[]
SC_AXI_2018_01_01.mseed_27000,[],[],[],[]
SC_AXI_2018_01_04.mseed_24000,[],[],[],[]
SC_AXI_2018_01_03.mseed_30000,[],[],[],[]
SC_AXI_2018_01_02.mseed_27000,[],[],[],[]
SC_AXI_2018_01_01.mseed_30000,[],[],[],[]
SC_AXI_2018_01_04.mseed_27000,[],[],[1739],[0.364531]
SC_AXI_2018_01_03.mseed_33000,[],[],[],[]
SC_AXI_2018_01_02.mseed_30000,[],[],[],[]
SC_AXI_2018_01_04.mseed_30000,[],[],[],[]
SC_AXI_2018_01_01.mseed_33000,[],[],[],[]
SC_AXI_2018_01_03.mseed_36000,[],[],[],[]
SC_AXI_2018_01_02.mseed_33000,[],[],[],[]
SC_AXI_2018_01_04.mseed_33000,[],[],[],[]
SC_AXI_2018_01_01.mseed_36000,[],[],[],[]
SC_AXI_2018_01_03.mseed_39000,[],[],[],[]
SC_AXI_2018_01_02.mseed_36000,[],[],[],[]
SC_AXI_2018_01_01.mseed_39000,[],[],[],[]
SC_AXI_2018_01_04.mseed_36000,[],[],[],[]
SC_AXI_2018_01_03.mseed_42000,[],[],[],[]
